p,lambda,rho,avg_acc,avg_f1,avg_rate,avg_kll,avg_rkll,avg_rte,avg_fro,avg_spec,avg_l1
50,0.05,0.5,0.94,0.5714285714285715,0.4,170.07375963084573,5321.443185155886,0.9823576950234312,17799.6885953895,3279.934643214222,3406.2103102918563
50,0.05,1.0,0.94,0.5714285714285715,0.4,0.1986737926697444,0.19395704163768102,0.002963252776298164,1555.3216063996172,532.4733671479329,792.7128887654922
50,0.05,2.0,0.98,0.888888888888889,0.8,0.385066069716153,0.40933769063978076,0.05327794573848077,2325.555126434707,772.2302012335917,970.8215863953807
50,0.1,0.5,0.92,0.33333333333333337,0.2,187.12627872807363,5466.277615109674,0.9913088202205274,17835.817702851466,3222.979756054389,3339.1437687377743
50,0.1,1.0,0.94,0.5714285714285715,0.4,0.3379679206836457,0.3433579232231523,0.024162506644365367,2089.1286085029615,649.0296836496431,760.5579455265286
50,0.1,2.0,0.96,0.7499999999999999,0.6,1.13444710240001,1.1795259703024286,0.07003765593597933,3907.117159631354,1354.6377680424914,1807.5292484169008
50,0.2,0.5,0.98,0.888888888888889,0.8,204.71727356070917,8206.363284035466,0.9933793009221625,17976.774450924982,3462.0197702355667,3668.4375117473955
50,0.2,1.0,0.92,0.33333333333333337,0.2,0.6843962342217864,0.6829631576928392,0.01808532204794,2921.5503603042207,807.6543342447256,1101.6778619431389
50,0.2,2.0,0.92,0.33333333333333337,0.2,0.5965266696136169,0.6089412262244238,0.03237412784552596,2742.8765612577813,685.9195661611848,1110.9240969850193
75,0.01,0.5,0.96,0.6666666666666665,0.6,387.7022594039496,38044.16460572599,0.9977037572265234,22995.387570058523,4224.249287362679,4568.294086025465
75,0.01,1.0,0.96,0.7272727272727272,0.8,362.715804706279,120936.49778681775,0.9959552813023977,23103.981278896325,4398.1864006673295,4863.277136925917
75,0.01,2.0,0.9866666666666667,0.888888888888889,0.8,177.83369272758267,1808.9806139689433,0.964634930078154,22690.07503193242,4604.391312987072,5526.003137329968
75,0.05,0.5,0.96,0.6666666666666665,0.6,403.017777996045,45117.18382127442,0.9983175205504577,23004.00136912631,4273.218464159002,4476.293396201753
75,0.05,1.0,0.96,0.5714285714285715,0.4,300.30781346676946,10972.442709347632,0.9932583450723244,22713.422045704603,3655.1635602727774,4014.6087749600943
75,0.05,2.0,0.9866666666666667,0.888888888888889,0.8,0.4186709425237467,0.4260755452524876,0.031199372616278254,2394.561748276796,572.4093262000708,745.4257517330001
75,0.1,0.5,0.9466666666666667,0.33333333333333337,0.2,382.75908989834613,34599.40749880165,0.997865193511137,23123.041283694118,3958.629729525839,4184.53483846034
75,0.1,1.0,0.9333333333333333,0.4444444444444445,0.4,211.1384360424974,4546.581020327633,0.9715203587409369,21407.74265422434,3318.0043053407658,3605.996901237358
75,0.1,2.0,0.9733333333333334,0.7499999999999999,0.6,0.6138769787769291,0.5962447513348792,0.028320204735406085,2786.6126202495025,779.8577623679698,942.0611661509844
75,0.2,0.5,0.96,0.5714285714285715,0.4,379.95423604620555,33747.82008696473,0.9975834713484886,22231.82424123115,3554.4804581233784,3814.7544795752033
75,0.2,1.0,0.9466666666666667,0.33333333333333337,0.2,144.42439713559222,1036.4265113913923,0.9434634133055153,20566.270978508128,2791.9728840600974,2881.360020086043
75,0.2,2.0,0.9733333333333334,0.7499999999999999,0.6,0.8270559997557143,0.8603194017382236,0.059284509855011214,3365.5408703842972,871.6037626865476,1225.8521629637535
100,0.01,0.5,0.96,0.33333333333333337,0.2,533.6633228772075,58911.293410512226,0.998323407015083,26986.451712521914,4374.342362815968,5020.6918601978205
100,0.01,1.0,0.98,0.7499999999999999,0.6,379.773823595633,13081.19839267615,0.990238581395569,25490.31780555261,3510.7185470860704,4005.941702931611
100,0.01,2.0,0.98,0.8000000000000002,0.8,350.72044532254847,9377.282860387677,0.9875791274832356,26976.863616109145,4612.319385207655,5364.024594498136
100,0.05,0.5,0.96,0.33333333333333337,0.2,535.5634321179946,59134.13593212359,0.9983297009251064,26450.656175019187,4169.563410627558,4351.739367713783
100,0.05,1.0,0.98,0.7499999999999999,0.6,398.71892125035424,14552.69421363219,0.992874034594742,26191.934273001938,3841.9464782565033,4274.12066896664
100,0.05,2.0,1.0,1.0,1.0,0.37166134929708505,0.34967663887385925,0.014136995012048459,1970.1404880222187,380.3682622231756,561.4124391293877
100,0.1,0.5,0.96,0.33333333333333337,0.2,536.5689887535098,58561.3705550709,0.9983135957559857,25742.360529934605,3707.1499850422697,3945.7394008617566
100,0.1,1.0,0.97,0.5714285714285715,0.4,523.97256359856,51424.74432402456,0.9980893126930215,26290.96730688494,3720.7936807053497,3944.443022397268
100,0.1,2.0,0.97,0.6666666666666665,0.6,202.57020860087772,1656.1200658991354,0.946265712568303,25084.614445036394,3801.7354920247667,4120.222837216999
100,0.2,0.5,0.97,0.7272727272727272,0.8,520.6382538512787,49982.030380054,0.9979468927778069,26259.38746885172,3850.319997108539,4496.999196181135
100,0.2,1.0,0.99,0.888888888888889,0.8,406.6551553530991,15262.75847149614,0.9935287888172066,26522.839171585816,4157.779018583982,4805.861430869124
100,0.2,2.0,0.98,0.7499999999999999,0.6,386.951300224213,12741.664453094234,0.9921938421287555,27094.009941359735,4704.985875544891,4968.118166217761
